ID|Q_ID|ANSWER|CORRECT
0|49|Если при движении тела независимыми остаются только 2 координаты этого тела.|
1|68|Останется кинетическая энергия всей массы системы, мысленно сосредоточенная в её центре масс и движущаяся вместе с ней.|
2|31|Не указана система отсчета, в которой эти события рассматриваются.|
3|62|Если при движении тела независимыми остаются 3 координаты этого тела.|
4|59|Это движение тела при отсутствии внешних воздействий.|
5|81|Если потенциальная энергия экстремальна.|
6|28|Когда размерами тела можно пренебречь, по сравнению с расстоянием, которое оно проходит.|
7|66|Если система является изолированной.|
8|98|Все системы отсчёта кинематически эквивалентны.|
9|53|Как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила - геометрической сумме всех внешних сил, действующих на систему.|
10|91|От импульса.|
11|2|Необходимо дополнить, что эти силы зависят только от конфигурации системы.|
12|43|Введение этого понятия позволяет решать задачи независимо оттого, что представляет собой рассматриваемая система, т.е. решение будет применимо для любой системы.|
13|10|Если при движении тела независимой остаётся только 1 координата этого тела.|
14|97|Внешние.|
15|15|Эти две точки обмениваются своими скоростями.|
16|64|Потеря кинетической энергии макроскопического движения, равная половине произведения приведенной массы на квадрат относительной скорости.|
17|19|Если момент внешних сил относительно неподвижного начала равен нулю.|
18|85|Эллипс.|
19|4|Если при движении тела независимыми остаются 6 координат этого тела.|
20|82|Законы изменения положений тел в пространстве со временем и причины, его вызывающие.|
21|41|Ничем.|
22|81|Необходимо, чтобы потенциальная энергия была стационарна и экстремальна.|
23|64|Потеря кинетической энергии макроскопического движения, равная половине произведения приведенной массы на квадрат относительной скорости.|
24|98|Все системы отсчета кинематически эквивалентны.|
25|68|Получится кинетическая энергия всей массы системы, мысленно сосредоточенной в её центре масс и движущейся вместе с ним.|
26|82|Медленные движения макроскопических тел.|
27|0|Градиент потенциальной энергии, взятый с отрицательным знаком.|
28|43|Введение этого понятия позволяет решать задачи независимо оттого, что представляет собой рассматриваемая система, т.е. решение будет применимо для любой системы.|
29|5|Если из неконсервативных сил действуют только гироскопические.|
30|25|Потому что законы Ньютона выражаются дифференциальными уравнениями, а таких уравнений недостаточно, чтобы полностью определить движение.|
31|28|Когда размеры тела настолько малы, что в рассматриваемом движении их можно не принимать во внимание и считать, что все вещества тела как бы сосредоточены в одной геометрической точке.|
32|4|Минимальное количество независимых переменных (обобщённых координат), необходимых для полного описания движения механической системы равно шести.|
33|66|Если система является изолированной.|
34|62|Минимальное количество независимых переменных (обобщённых координат), необходимых для полного описания движения механической системы равно трём.|
35|97|Внешние.|
36|31|Не указана система отсчета, в которой события рассматриваются.|
37|53|Как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила - геометрической сумме всех внешних сил, действующих на систему.|
38|99|Геометрической сумме всех внешних сил, действующих на систему.|
39|2|Необходимо добавить, что речь идёт про силы, зависящие только от конфигурации системы.|
40|85|Эллипс.|
41|75|Если точку приложения силы перенести в любую другую точку, расположенную на линии действия силы.|
42|91|От координат и скорости этой материальной точки.|
43|87|Так как именно для этой величины при определенных условиях выполняется закон сохранения.|
44|15|Они обмениваются своими скоростями.|
45|19|Если момент внешних сил относительно этого начала равен нулю.|
46|59|Движение, при котором тело или материальная точка не подвергается внешнему воздействую.|
47|1|Никак. Наличие радиального движения не отразится на справедливости формулы, так как момент импульса материальной точки зависит от её скорости линейно.|
48|49|Минимальное количество независимых переменных (обобщённых координат), необходимых для полного описания движения механической системы равно двум.|
49|97|На ее изменение влияет действие внешних сил и так как она является скаляром, то не зависит от направления движения частей системы.|
50|10|Минимальное количество независимых переменных (обобщённых координат), необходимых для полного описания движения механической системы равно одному.|
51|75|Момент силы относительно данной точки не изменяется при переносе точки приложения силы по линии ее действия.|
52|87|Согласно Ньютону, «количество движения есть мера такового, устанавливаемая пропорционально скорости и массе»|
53|4|В случае, когда на его движение не наложены никакие ограничения.|
54|82|Медленные движения макроскопических тел|
55|0|Сила равна градиенту потенциальной энергии, взятого с противоположным знаком.|
56|5|когда работа неконсервативных сил равна нулю|
57|64|Происходит потеря кинетической энергии макроскопического движения|
58|41|Действие» по своей физической природе ничем не отличается от «противодействия.|
59|68|Отчисление|
60|53|Центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы.|
61|28|когда тело движется поступательно|
62|31|Утверждение, что два различных не одновременных события произошли в одном и том же месте пространства, лишено содержания, пока не указана система отсчета, в которой события рассматриваются|
63|2|Определение неполное. Верное определение: Консервативными называются силы, зависящие только от конфигурации системы, и работа которых по любому замкнутому контуру равно нулю.|
64|15|после столкновения эти точки будут двигаться друг от друга в противоположные стороны, со скростями обратно пропорциолнальными их массы,так что их импульсы после столкновения будут равными,а сумма импульсов будет равна сумме имульсов до столкновения.|
65|99|равно импульсу равнодействующей внешних сил.|
66|25|Различие начальных условий и приводит к тому, что одно и то же явление, описываемое одними и теми же законами, выглядит по-разному в разных инерциальных системах отсчета.|
