ID|QUESTIOIN|TEACHER_ANSWER
0|Если известна потенциальная энергия материальной точки, как найти действующую на неё силу?|Взять градиент потенциальной энергии со знаком минус
1|Как изменится вид уравнения вращательного движения системы  материальных точек относительно оси (момент импульса равен произведению момента инерции на угловую скорость), если на вращательное движение системы материальных точек накладывается радиальное движение?|Никак
2|Чем некорректно следующее определение - Консервативными называются силы, работа которых по любому замкнутому пути равна нулю?|Нужно добавить - зависящие только от конфигурации системы
3|Какой физический смысл дивергенции поля?|Дивергенция поля – это мощность источника поля
4|В каком случае идеально твердое тело при движении обладает шестью степенями свободы?|Если на его движение не наложены никакие ограничения
5|В системе материальных точек кроме консервативных сил действуют и неконсервативные силы. В каком случае полная механическая энергия системы сохраняется?|Если эти силы - гироскопические
6|При падении естественного света на прозрачный диэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|Полная и максимальная
7|Чему равна энергия результирующих колебаний в точках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? | Удвоенной сумме энергий составляющих колебаний
8|Что такое уравнение состояния тела?|Уравнение, связывающее объем, температуру и давление
9|Сколько параметров требуется для описания неквазистатического процесса в общем случае?|Бесконечное множество
10|В каком случае идеально твердое тело при движении обладает одной степенью свободы?|Если оно может только вращаться вокруг закрепленной оси
11|Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |Один поворот и одна ось вращения
12|Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|Они имеют смысл средних щначений
13|Перечислите основные свойства заряда.|Наличие противоположных зарядов, аддитивность, дискретность, закон сохранения
14|Как влияет внешнее магнитное поле на домены в ферромагнетиках?|Домены, сонаправленные с полем, увеличиваются, остальные уменьшаются. При некотором значении напряженности поля устанавливается единое направление всех доменов
15|Что происходит при центральном абсолютно упругом столкновении двух материальных точек (обе точки до столкновения двигались)?|Они обмениваются скоростями
16|В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|Уравнение состояния нельзя вывести из общих принципов термодинамики
17|Дисперсия называется аномальной, если (написать через длину волны)|с уменьшением длины волны показатель преломления среды уменьшается
18|Как изменится частота света при переходе из вакуума в прозрачную среду с показателем преломления n=2?|Не изменится
19|Когда момент импульса системы относительно неподвижного начала сохраняется?|Если момент внешних сил относительно этого неподвижного начала равен нулю
20|Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|Если при приведении в тепловой контакт энергия переходит от тела В к телу А
21|Что может являться причиной нерегулярных колебаний продолжительности суток?|Всякое перемещение масс внутри Землиf
22|Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|Второе начало термодинамики
23|Как связаны закон Кулона и масса покоя фотона?|Если бы закон Кулона нарушался при больших расстояниях, то фотон обладал бы отличной от нуля массой покоя
24|Что называют точкой Кюри для ферромагнетиков?|Температура, выше которой начинает разрушаться доменная структура, ферромагнетики превращаются в парамагнетики
25|Если уравнения механики Ньютона инварианты относительно преобразования Галилея, то почему движение относительно разных инерциальных систем отсчёта выглядит по-разному?|Потому что законы Ньютона выражаются дифференциальными уравнениями, а таких уравнений недостаточно, чтобы полностью определить движение
26|... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|Спектральная разрешающая способность
27|Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|Чему-то
28|Когда тело можно принять за материальную точку?|Когда абсолютные размеры тела малы по сравнению с расстояниями, характерными для рассматриваемого движения
29|Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? | Кинетическая – увеличится, потенциальная – уменьшится
30|Отношение энергии отраженной волны к энергиипадающей называется|Коэффициентом отражения
